"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:36 UTC 2026","passed","Sat Apr 11 04:00:36 UTC 2026","","","",""
"","8","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:01 UTC 2026","passed","Sat Apr 11 04:01:01 UTC 2026","","","",""
"","1565","[POST] [Rush] 注册新账号","","Sat Apr 11 04:00:57 UTC 2026","passed","Sat Apr 11 04:00:58 UTC 2026","","","",""
"","22","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:13 UTC 2026","passed","Sat Apr 11 04:01:13 UTC 2026","","","",""
"","76","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:02 UTC 2026","passed","Sat Apr 11 04:01:02 UTC 2026","","","",""
"","11","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:59 UTC 2026","passed","Sat Apr 11 04:00:59 UTC 2026","","","",""
"","10","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:59 UTC 2026","passed","Sat Apr 11 04:00:59 UTC 2026","","","",""
"","27","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:15 UTC 2026","passed","Sat Apr 11 04:01:15 UTC 2026","","","",""
"","13","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:58 UTC 2026","passed","Sat Apr 11 04:00:58 UTC 2026","","","",""
"","33","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:36 UTC 2026","passed","Sat Apr 11 04:00:36 UTC 2026","","","",""
"","41","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:31 UTC 2026","passed","Sat Apr 11 04:00:31 UTC 2026","","","",""
"","61","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:38 UTC 2026","passed","Sat Apr 11 04:00:38 UTC 2026","","","",""
"","15","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:55 UTC 2026","passed","Sat Apr 11 04:00:55 UTC 2026","","","",""
"","53","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:57 UTC 2026","passed","Sat Apr 11 04:00:57 UTC 2026","","","",""
"","1488","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:47 UTC 2026","passed","Sat Apr 11 04:00:48 UTC 2026","","","",""
"","140","[POST] [Daily] 预热账号登出","","Sat Apr 11 04:01:28 UTC 2026","passed","Sat Apr 11 04:01:28 UTC 2026","","","",""
"
        验证正常用户的注册、登录和Token提取流程
        ","614","test_full_auth_flow","tests.integration.auth","Sat Apr 11 03:57:40 UTC 2026","passed","Sat Apr 11 03:57:41 UTC 2026","TestUserRegisterPositive","test_register_positive","",""
"","19","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:03 UTC 2026","passed","Sat Apr 11 04:01:03 UTC 2026","","","",""
"","202","[POST] [Daily] 预热账号登出","","Sat Apr 11 04:01:28 UTC 2026","passed","Sat Apr 11 04:01:28 UTC 2026","","","",""
"","531","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:30 UTC 2026","passed","Sat Apr 11 04:00:30 UTC 2026","","","",""
"","8","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:18 UTC 2026","passed","Sat Apr 11 04:01:18 UTC 2026","","","",""
"","20","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:52 UTC 2026","passed","Sat Apr 11 04:00:52 UTC 2026","","","",""
"","14","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:42 UTC 2026","passed","Sat Apr 11 04:00:42 UTC 2026","","","",""
"","2050","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:37 UTC 2026","passed","Sat Apr 11 04:00:39 UTC 2026","","","",""
"","966","[POST] [Rush] 立即登录","","Sat Apr 11 04:01:22 UTC 2026","passed","Sat Apr 11 04:01:23 UTC 2026","","","",""
"","13","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:13 UTC 2026","passed","Sat Apr 11 04:01:13 UTC 2026","","","",""
"","43","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:59 UTC 2026","passed","Sat Apr 11 04:00:59 UTC 2026","","","",""
"","16","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:07 UTC 2026","passed","Sat Apr 11 04:01:07 UTC 2026","","","",""
"","60","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:20 UTC 2026","passed","Sat Apr 11 04:01:20 UTC 2026","","","",""
"","21","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:48 UTC 2026","passed","Sat Apr 11 04:00:48 UTC 2026","","","",""
"","965","[POST] [Rush] 立即登录","","Sat Apr 11 04:01:12 UTC 2026","passed","Sat Apr 11 04:01:13 UTC 2026","","","",""
"","167","[POST] [Daily] 预热账号登出","","Sat Apr 11 04:01:28 UTC 2026","passed","Sat Apr 11 04:01:28 UTC 2026","","","",""
"","27","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:38 UTC 2026","passed","Sat Apr 11 04:00:39 UTC 2026","","","",""
"","292","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:37 UTC 2026","passed","Sat Apr 11 04:00:37 UTC 2026","","","",""
"","25","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:11 UTC 2026","passed","Sat Apr 11 04:01:11 UTC 2026","","","",""
"","28","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:16 UTC 2026","passed","Sat Apr 11 04:01:16 UTC 2026","","","",""
"","21","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:20 UTC 2026","passed","Sat Apr 11 04:01:20 UTC 2026","","","",""
"","1143","[POST] [Rush] 注册新账号","","Sat Apr 11 04:00:41 UTC 2026","passed","Sat Apr 11 04:00:42 UTC 2026","","","",""
"","1314","[POST] [Rush] 立即登录","","Sat Apr 11 04:01:24 UTC 2026","passed","Sat Apr 11 04:01:25 UTC 2026","","","",""
"","28","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:20 UTC 2026","passed","Sat Apr 11 04:01:20 UTC 2026","","","",""
"","1662","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:34 UTC 2026","passed","Sat Apr 11 04:00:36 UTC 2026","","","",""
"","947","[POST] [Rush] 立即登录","","Sat Apr 11 04:01:04 UTC 2026","passed","Sat Apr 11 04:01:05 UTC 2026","","","",""
"
        利用参数化技术，批量验证后端拦截逻辑是否生效
        ","307","注册异常校验: 合法密码：8+1位加混合字符","tests.integration.auth","Sat Apr 11 03:57:39 UTC 2026","passed","Sat Apr 11 03:57:39 UTC 2026","TestUserRegisterNegative","test_register_negative","",""
"","11","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:45 UTC 2026","passed","Sat Apr 11 04:00:45 UTC 2026","","","",""
"","24","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:52 UTC 2026","passed","Sat Apr 11 04:00:52 UTC 2026","","","",""
"","28","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:37 UTC 2026","passed","Sat Apr 11 04:00:37 UTC 2026","","","",""
"","44","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:17 UTC 2026","passed","Sat Apr 11 04:01:17 UTC 2026","","","",""
"","55","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:04 UTC 2026","passed","Sat Apr 11 04:01:04 UTC 2026","","","",""
"","6","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:55 UTC 2026","passed","Sat Apr 11 04:00:55 UTC 2026","","","",""
"","10","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:17 UTC 2026","passed","Sat Apr 11 04:01:17 UTC 2026","","","",""
"","171","[POST] [Daily] 预热账号登出","","Sat Apr 11 04:01:28 UTC 2026","passed","Sat Apr 11 04:01:28 UTC 2026","","","",""
"","36","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:35 UTC 2026","passed","Sat Apr 11 04:00:35 UTC 2026","","","",""
"","955","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:57 UTC 2026","passed","Sat Apr 11 04:00:58 UTC 2026","","","",""
"","33","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:03 UTC 2026","passed","Sat Apr 11 04:01:03 UTC 2026","","","",""
"","30","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:36 UTC 2026","passed","Sat Apr 11 04:00:36 UTC 2026","","","",""
"","38","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:38 UTC 2026","passed","Sat Apr 11 04:00:38 UTC 2026","","","",""
"","18","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:00:43 UTC 2026","passed","Sat Apr 11 04:00:43 UTC 2026","","","",""
"","299","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:00:37 UTC 2026","passed","Sat Apr 11 04:00:38 UTC 2026","","","",""
"","1562","[POST] [Rush] 注册新账号","","Sat Apr 11 04:01:18 UTC 2026","passed","Sat Apr 11 04:01:20 UTC 2026","","","",""
"","1551","[POST] [Rush] 立即登录","","Sat Apr 11 04:00:58 UTC 2026","passed","Sat Apr 11 04:01:00 UTC 2026","","","",""
"","10","[POST] [Daily] 发布新帖子","","Sat Apr 11 04:01:26 UTC 2026","passed","Sat Apr 11 04:01:26 UTC 2026","","","",""
"","19","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:08 UTC 2026","passed","Sat Apr 11 04:01:08 UTC 2026","","","",""
"","15","[GET] [Daily] 查看帖子列表","","Sat Apr 11 04:01:23 UTC 2026","passed","Sat Apr 11 04:01:23 UTC 2026","","","",""
